objectnr;label;linknr;year;name;day;daylv;eveninglv;nightlv;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
22843;Link 209268;209268;2030;Sarphatistraat;3398;180;144;74;LINESTRING(4.9124232 52.3620802,4.9115811 52.3619182,4.911325 52.3618815);LINESTRING(52.3620802 4.9124232,52.3619182 4.9115811,52.3618815 4.911325);4.9118741;52.36198085
22844;Link 209268;209268;2035;Sarphatistraat;3574;190;152;78;LINESTRING(4.9124232 52.3620802,4.9115811 52.3619182,4.911325 52.3618815);LINESTRING(52.3620802 4.9124232,52.3619182 4.9115811,52.3618815 4.911325);4.9118741;52.36198085
22845;Link 209268;209268;2040;Sarphatistraat;3686;196;157;80;LINESTRING(4.9124232 52.3620802,4.9115811 52.3619182,4.911325 52.3618815);LINESTRING(52.3620802 4.9124232,52.3619182 4.9115811,52.3618815 4.911325);4.9118741;52.36198085
22846;Link 209268;209268;2050;Sarphatistraat;4186;223;178;91;LINESTRING(4.9124232 52.3620802,4.9115811 52.3619182,4.911325 52.3618815);LINESTRING(52.3620802 4.9124232,52.3619182 4.9115811,52.3618815 4.911325);4.9118741;52.36198085
23825;Link 210528;210528;2019;Sarphatistraat;2022;108;87;44;LINESTRING(4.908386 52.361284,4.90807 52.3612207,4.9079615 52.361177);LINESTRING(52.361284 4.908386,52.3612207 4.90807,52.361177 4.9079615);4.90817375;52.3612305
23826;Link 210528;210528;2025;Sarphatistraat;2185;117;93;48;LINESTRING(4.908386 52.361284,4.90807 52.3612207,4.9079615 52.361177);LINESTRING(52.361284 4.908386,52.3612207 4.90807,52.361177 4.9079615);4.90817375;52.3612305
23827;Link 210528;210528;2030;Sarphatistraat;2240;120;96;49;LINESTRING(4.908386 52.361284,4.90807 52.3612207,4.9079615 52.361177);LINESTRING(52.361284 4.908386,52.3612207 4.90807,52.361177 4.9079615);4.90817375;52.3612305
23828;Link 210528;210528;2035;Sarphatistraat;2252;121;96;49;LINESTRING(4.908386 52.361284,4.90807 52.3612207,4.9079615 52.361177);LINESTRING(52.361284 4.908386,52.3612207 4.90807,52.361177 4.9079615);4.90817375;52.3612305
23829;Link 210528;210528;2040;Sarphatistraat;2289;123;98;50;LINESTRING(4.908386 52.361284,4.90807 52.3612207,4.9079615 52.361177);LINESTRING(52.361284 4.908386,52.3612207 4.90807,52.361177 4.9079615);4.90817375;52.3612305
23830;Link 210528;210528;2050;Sarphatistraat;2337;125;100;51;LINESTRING(4.908386 52.361284,4.90807 52.3612207,4.9079615 52.361177);LINESTRING(52.361284 4.908386,52.3612207 4.90807,52.361177 4.9079615);4.90817375;52.3612305
4720;Link 22844;22844;2019;Plantage Kerklaan;3549;187;150;77;LINESTRING(4.9109466 52.3655441,4.9116719 52.3662911,4.9117661 52.3664226);LINESTRING(52.3655441 4.9109466,52.3662911 4.9116719,52.3664226 4.9117661);4.91135635;52.36598335
4721;Link 22844;22844;2025;Plantage Kerklaan;4836;257;205;105;LINESTRING(4.9109466 52.3655441,4.9116719 52.3662911,4.9117661 52.3664226);LINESTRING(52.3655441 4.9109466,52.3662911 4.9116719,52.3664226 4.9117661);4.91135635;52.36598335
4722;Link 22844;22844;2030;Plantage Kerklaan;5170;275;219;112;LINESTRING(4.9109466 52.3655441,4.9116719 52.3662911,4.9117661 52.3664226);LINESTRING(52.3655441 4.9109466,52.3662911 4.9116719,52.3664226 4.9117661);4.91135635;52.36598335
4723;Link 22844;22844;2035;Plantage Kerklaan;5322;283;226;116;LINESTRING(4.9109466 52.3655441,4.9116719 52.3662911,4.9117661 52.3664226);LINESTRING(52.3655441 4.9109466,52.3662911 4.9116719,52.3664226 4.9117661);4.91135635;52.36598335
4724;Link 22844;22844;2040;Plantage Kerklaan;5439;289;231;118;LINESTRING(4.9109466 52.3655441,4.9116719 52.3662911,4.9117661 52.3664226);LINESTRING(52.3655441 4.9109466,52.3662911 4.9116719,52.3664226 4.9117661);4.91135635;52.36598335
4725;Link 22844;22844;2050;Plantage Kerklaan;5923;315;252;129;LINESTRING(4.9109466 52.3655441,4.9116719 52.3662911,4.9117661 52.3664226);LINESTRING(52.3655441 4.9109466,52.3662911 4.9116719,52.3664226 4.9117661);4.91135635;52.36598335
6904;Link 27694;27694;2019;Plantage Kerklaan;3721;197;157;80;LINESTRING(4.9105906 52.3650571,4.9106039 52.365183,4.9109466 52.3655441);LINESTRING(52.3650571 4.9105906,52.365183 4.9106039,52.3655441 4.9109466);4.9107686;52.3653006
6905;Link 27694;27694;2025;Plantage Kerklaan;4934;262;209;107;LINESTRING(4.9105906 52.3650571,4.9106039 52.365183,4.9109466 52.3655441);LINESTRING(52.3650571 4.9105906,52.365183 4.9106039,52.3655441 4.9109466);4.9107686;52.3653006
6906;Link 27694;27694;2030;Plantage Kerklaan;5281;281;224;115;LINESTRING(4.9105906 52.3650571,4.9106039 52.365183,4.9109466 52.3655441);LINESTRING(52.3650571 4.9105906,52.365183 4.9106039,52.3655441 4.9109466);4.9107686;52.3653006
6907;Link 27694;27694;2035;Plantage Kerklaan;5424;289;230;118;LINESTRING(4.9105906 52.3650571,4.9106039 52.365183,4.9109466 52.3655441);LINESTRING(52.3650571 4.9105906,52.365183 4.9106039,52.3655441 4.9109466);4.9107686;52.3653006
6908;Link 27694;27694;2040;Plantage Kerklaan;5530;294;235;120;LINESTRING(4.9105906 52.3650571,4.9106039 52.365183,4.9109466 52.3655441);LINESTRING(52.3650571 4.9105906,52.365183 4.9106039,52.3655441 4.9109466);4.9107686;52.3653006
6909;Link 27694;27694;2050;Plantage Kerklaan;5991;319;255;130;LINESTRING(4.9105906 52.3650571,4.9106039 52.365183,4.9109466 52.3655441);LINESTRING(52.3650571 4.9105906,52.365183 4.9106039,52.3655441 4.9109466);4.9107686;52.3653006
2925;Link 18972;18972;2019;Plantage Middenlaan;7186;380;303;155;LINESTRING(4.9117661 52.3664226,4.9095757 52.3671805,4.9094097 52.3672158);LINESTRING(52.3664226 4.9117661,52.3671805 4.9095757,52.3672158 4.9094097);4.9105879;52.3668192
2926;Link 18972;18972;2025;Plantage Middenlaan;6307;335;267;137;LINESTRING(4.9117661 52.3664226,4.9095757 52.3671805,4.9094097 52.3672158);LINESTRING(52.3664226 4.9117661,52.3671805 4.9095757,52.3672158 4.9094097);4.9105879;52.3668192
2927;Link 18972;18972;2030;Plantage Middenlaan;6866;365;291;149;LINESTRING(4.9117661 52.3664226,4.9095757 52.3671805,4.9094097 52.3672158);LINESTRING(52.3664226 4.9117661,52.3671805 4.9095757,52.3672158 4.9094097);4.9105879;52.3668192
2928;Link 18972;18972;2035;Plantage Middenlaan;7174;381;305;156;LINESTRING(4.9117661 52.3664226,4.9095757 52.3671805,4.9094097 52.3672158);LINESTRING(52.3664226 4.9117661,52.3671805 4.9095757,52.3672158 4.9094097);4.9105879;52.3668192
